,network,gt-feature,gpv-feature,gpv-feature-cos,resnet-50,resnet-152,alexnet,vgg16-bn,ssim
0,frame-1,0.9682458639144897,0.804597701149425,0.7250185012817383,0.8817135095596313,0.886232852935791,0.9168038368225098,0.8831859827041626,0.5585749855479689
1,frame-2,0.6681530475616455,0.793103448275862,0.7044484615325928,0.8323080539703369,0.8736301064491272,0.8246995210647583,0.8660686016082764,0.5355563742492286
2,frame-3,0.7412493228912354,0.666666666666667,0.6865554451942444,0.8739256858825684,0.8870751857757568,0.8717888593673706,0.9014987945556641,0.5827129247854437
3,frame-4,1.0,0.67816091954023,0.7686576843261719,0.7968205213546753,0.8341840505599976,0.859251856803894,0.8682395219802856,0.5836756615573466
4,frame-5,0.6445033550262451,0.724137931034483,0.7423700094223022,0.6271861791610718,0.6622040271759033,0.41714853048324585,0.7018676996231079,0.5632384134029733
5,frame-6,0.6666666269302368,0.735632183908046,0.6814662218093872,0.8563574552536011,0.8256925344467163,0.7507997155189514,0.6991558074951172,0.652298531893041
6,frame-7,0.7999999523162842,0.724137931034483,0.700140118598938,0.8164541721343994,0.8687325119972229,0.7967724800109863,0.7993274927139282,0.6435757076452729
7,frame-8,0.5999999642372131,0.64367816091954,0.6458814144134521,0.8443320989608765,0.8378137350082397,0.8439686894416809,0.827717125415802,0.6468735499274093
8,frame-9,0.7333332896232605,0.747126436781609,0.7709341645240784,0.8568251132965088,0.8443281650543213,0.8185725212097168,0.857248067855835,0.6469973475086622
9,frame-10,0.6666666269302368,0.804597701149425,0.8837798237800598,0.8853605389595032,0.8525614738464355,0.792654812335968,0.8214438557624817,0.6101327742965027
10,frame-11,0.7333332896232605,0.850574712643678,0.8945647478103638,0.9126797914505005,0.8689863085746765,0.8909286260604858,0.905413806438446,0.6767931502644449
