timestamp,video,model left,model right,winner model,see,not_see,score,comments,mode,F1-Base,F1-Shadow
2024-02-05::17:23:23,video-14-segment-4,BLIP,,,"Vegetation,Elevator,Wall,Curb,Trash bins,Puddle",,6,,single,0.5882352941176471,
2024-02-05::17:27:24,video-4-segment-3,BLIP,,,"Person with a disability,Curb,Tactile Paving,Vegetation,Mail box,Sloped Driveway",,8,,single,0.6086956521739131,
2024-02-05::17:33:16,video-1-segment-4,GPT4V@Shadow,,,"Pedestrian Crossing,Person with a disability,Lamp Post,Gate,Counter,Driveway(flat)",,8,,single,0.696969696969697,0.6981132075471698
2024-02-05::17:34:26,video-2-segment-1,GPV-1@Shadow,,,"Maintenance Vehicle,Barrier Stump,Traffic Signals,Crosswalk,Wet surface,Table",,1,,single,0.2142857142857143,0.2135922330097087
2024-02-05::17:37:26,video-14-segment-1,GT_N,,,"Sidewalk,Retaining Wall,Bench,Car,Stairs,Railing",,9,,single,1.0,
2024-02-05::17:42:39,video-15-segment-3,GPV-1,,,"Sloped Driveway,Tree,Wall,Road,Fire hydrant,Car",,7,,single,0.8346456692913387,
2024-02-05::17:44:24,video-11-segment-1,GT_N,,,"Push button,Gutter,Building,Snow,Road Divider,Car",,10,,single,1.0,
2024-02-05::17:49:51,video-7-segment-2,GPV-1@Shadow,,,"Car,Roadside Parking,Sign,Person with a disability,Barrier Stump",,6,,single,0.6301369863013698,0.6292134831460674
2024-02-05::17:51:25,video-14-segment-4,GPT4V@Shadow,,,"Lamp Post,Elevator,White Cane,Road,Wheelchair,Flush Door",,1,,single,0.4864864864864865,0.4842105263157894
2024-02-05::17:55:14,video-1-segment-5,Random,,,"Stairs,White Cane,Roadside Parking,Railing,Lamp Post,Motorcycle",,5,,single,0.4827586206896552,
2024-02-05::17:56:40,video-14-segment-1,GPT4V,,,"Building,Accent Paving,Railing,Person,Closed Sidewalk,Gate",,5,,single,0.7560975609756098,
2024-02-05::18:00:44,video-16-segment-3,GPT4V,,,"Traffic Signals,Person,Vegetation,Road,Bench,Closed Sidewalk",,3,,single,0.7659574468085107,
2024-02-05::18:02:08,video-4-segment-1,GPT4V,,,"Bench,Person with a disability,Building,Person,Dog,Uneven Stairs",,7,,single,0.7560975609756098,
2024-02-05::18:05:15,video-16-segment-3,Random,,,"Closed Sidewalk,Roadside Parking,Barrier Post,White Cane,Unpaved Road,Railing",,7,,single,0.619718309859155,
2024-02-05::18:07:03,video-4-segment-3,GPV-1,,,"Slopped Curb,Sidewalk,Yard Waste,White Cane,Maintenance Vehicle,Escalator",,8,,single,0.6990291262135923,
2024-02-05::18:07:49,video-6-segment-2,GPT4V@Shadow,,,"Accent Paving,Curb,Stairs,Pillar,Bicycle,Train Tracks",,0,,single,0.5714285714285714,0.5737704918032787
2024-02-05::18:09:55,video-12-segment-4,BLIP@Shadow,,,"Person with a disability,Curb,Person,Pole,Accent Paving,Unpaved Sidewalk",,9,,single,0.758169934640523,0.758169934640523
2024-02-05::18:12:07,video-4-segment-1,Random,,,"Person,Railing,White Cane,Bus Stop,Foldout Sign,Barrier Post",,5,,single,0.48,
2024-02-05::18:13:42,video-6-segment-2,GPV-1@Shadow,,,"Wall,Sidewalk,Person with a disability,Pillar,Pole,Escalator",,3,,single,0.6129032258064516,0.6106870229007634
2024-02-05::18:14:48,video-3-segment-2,BLIP@Shadow,,,"Road,White Cane,Sidewalk,Pole,Maintenance Vehicle,Water Pipes",,4,,single,0.6666666666666667,0.6666666666666666
2024-02-05::18:15:55,video-4-segment-4,BLIP,,,"Railing,White Cane,Person,Curb,Driveway(flat),Trash bins",,6,,single,0.7272727272727273,
2024-02-05::18:16:46,video-7-segment-2,GT_N,,,"Sidewalk,Road,Wall,Slopped Curb,Hose,Bridge",,9,,single,1.0,
2024-02-05::18:17:33,video-2-segment-1,GPV-1,,,"Traffic Signals,Crosswalk,Sign Post,Pillar,Push button,Table",,2,,single,0.2028985507246376,
2024-02-05::18:18:38,video-11-segment-1,BLIP@Shadow,N/A,N/A,"Accent Paving,Car,Road,Curb,Hose,Unpaved Road",,7,,single,0.8120300751879699,0.8108108108108109
